지역,확진일,확진자수
강남구,2021-01-28,10
강남구,2021-01-29,9
강남구,2021-01-30,7
강남구,2021-01-31,7
강남구,2021-02-01,6
강남구,2021-02-02,8
강남구,2021-02-03,6
강남구,2021-02-04,1
강남구,2021-02-05,7
강남구,2021-02-06,2
강남구,2021-02-07,4
강남구,2021-02-08,3
강남구,2021-02-09,6
강남구,2021-02-10,2
강남구,2021-02-11,1
강남구,2021-02-12,1
강남구,2021-02-13,3
강남구,2021-02-14,4
강남구,2021-02-15,4
강남구,2021-02-16,7
강남구,2021-02-17,5
강남구,2021-02-18,5
강남구,2021-02-19,5
강남구,2021-02-20,2
강남구,2021-02-21,7
강남구,2021-02-22,6
강남구,2021-02-23,6
강남구,2021-02-24,8
강남구,2021-02-25,1
강남구,2021-02-26,5
강남구,2021-02-27,2
강남구,2021-02-28,1
강남구,2021-03-01,8
강남구,2021-03-02,8
강남구,2021-03-03,10
강남구,2021-03-04,9
강남구,2021-03-05,11
강남구,2021-03-06,5
강남구,2021-03-07,3
강남구,2021-03-08,6
강남구,2021-03-09,6
강남구,2021-03-10,7
강남구,2021-03-11,9
강남구,2021-03-12,6
강남구,2021-03-13,6
강남구,2021-03-14,2
강남구,2021-03-15,3
강남구,2021-03-16,4
강남구,2021-03-17,14
강남구,2021-03-18,11
강남구,2021-03-19,2
강남구,2021-03-20,6
강남구,2021-03-21,10
강남구,2021-03-22,13
강남구,2021-03-23,7
강남구,2021-03-24,13
강남구,2021-03-25,7
강남구,2021-03-26,8
강남구,2021-03-27,9
강남구,2021-03-28,8
강남구,2021-03-29,2
강남구,2021-03-30,7
강남구,2021-03-31,20
강남구,2021-04-01,15
강남구,2021-04-02,10
강남구,2021-04-03,8
강남구,2021-04-04,4
강남구,2021-04-05,5
강남구,2021-04-06,11
강남구,2021-04-07,20
강남구,2021-04-08,8
강남구,2021-04-09,16
강남구,2021-04-10,12
강남구,2021-04-11,8
강남구,2021-04-12,11
강남구,2021-04-13,18
강남구,2021-04-14,21
강남구,2021-04-15,20
강남구,2021-04-16,27
강남구,2021-04-17,15
강남구,2021-04-18,7
강남구,2021-04-19,10
강남구,2021-04-20,11
강남구,2021-04-21,18
강남구,2021-04-22,14
강남구,2021-04-23,21
강남구,2021-04-24,11
강남구,2021-04-25,12
강남구,2021-04-26,15
강남구,2021-04-27,28
강남구,2021-04-28,19
강남구,2021-04-29,22
강남구,2021-04-30,11
강남구,2021-05-01,18
강남구,2021-05-02,12
강남구,2021-05-03,18
강남구,2021-05-04,16
강남구,2021-05-05,20
강남구,2021-05-06,12
강남구,2021-05-07,37
강남구,2021-05-08,17
강남구,2021-05-09,13
강남구,2021-05-10,13
강남구,2021-05-11,20
강남구,2021-05-12,17
강남구,2021-05-13,11
강남구,2021-05-14,16
강남구,2021-05-15,30
강남구,2021-05-16,13
강남구,2021-05-17,15
강남구,2021-05-18,32
강남구,2021-05-19,25
강남구,2021-05-20,12
강남구,2021-05-21,15
강남구,2021-05-22,9
강남구,2021-05-23,12
강남구,2021-05-24,10
강남구,2021-05-25,17
